Date,Open,High,Low,Close
15/05/2024,297.05,303.98,295.39,303.98
14/05/2024,288.96,297.01,286.89,296.37
13/05/2024,294.5,295.19,287.21,289.99
12/05/2024,300,303.395,293.1,294.7
11/05/2024,300.3,301.37,294.49,298.65
10/05/2024,295.73,303.22,295.73,298.31
09/05/2024,298.95,299.72,295,298.21
08/05/2024,296.47,300,294.63,299.62
07/05/2024,294.96,298.7,292.66,295.43
06/05/2024,287.37,294.34,283.53,294.2
05/05/2024,281.66,290.81,280.35,285.17
04/05/2024,284.45,288.43,280.37,280.48
03/05/2024,292,292,284.17,285.34
02/05/2024,293.9,293.9,285.13,289.69
01/05/2024,280.01,297,272,293.96
30/04/2024,305.98,305.98,275.18,277.74
29/04/2024,293.59,319.3,289.05,303.8
28/04/2024,279.51,282.98,267.85,270.32
27/04/2024,284.82,287,270.45,275.6
26/04/2024,295.61,296.83,286.49,287.01
25/04/2024,300.5,300.5,293.27,293.67
24/04/2024,289.21,300.61,289.21,297.96
23/04/2024,302.6,304.58,290.36,290.5
22/04/2024,304.08,305.02,299.96,300.8
21/04/2024,298,305.7,298,303.56
20/04/2024,299.4,303.37,293.5,300.05
19/04/2024,309.07,309.8,299.14,300.32
18/04/2024,312.25,313.13,307.4,309.25
17/04/2024,299.58,312.98,298.43,310.59
16/04/2024,294.22,304.72,292.98,297.98
15/04/2024,268.55,293.34,268.55,292.45
14/04/2024,265.02,270.63,261.99,269.6
13/04/2024,265.9,267.15,260.83,266.75
12/04/2024,260.37,268.54,258.17,264.08
11/04/2024,266.97,268.5,257.74,260.2
10/04/2024,270.05,277.99,262.68,262.83
09/04/2024,263.05,264.805,260.87,262.39
08/04/2024,259.8,265.45,258.89,264.87
07/04/2024,264.88,265,258.69,260.84
06/04/2024,256,262.36,254.74,261.85
05/04/2024,253.115,254.61,249.675,252.79
04/04/2024,256.285,257.65,251.62,254.12
03/04/2024,257.25,257.25,252.66,255.14
02/04/2024,257.325,259.4,255.65,257.14
01/04/2024,258.37,260.245,255.33,257.57
31/03/2024,254.75,259.63,254.75,258.07
30/03/2024,256.24,258.97,253.34,254.43
29/03/2024,268.25,272.44,259.27,259.6
28/03/2024,269.01,271.67,266.05,269.89
27/03/2024,268.95,272.03,267.34,268.03
26/03/2024,267.78,270.23,263.26,266.69
25/03/2024,263.95,271.47,262.83,269.7
24/03/2024,256.28,263.82,255.875,263.2
23/03/2024,251.98,257.3,251.98,256.39
22/03/2024,251.75,253.44,249.56,252.37
21/03/2024,255.6,256,250.54,252.37
20/03/2024,254.71,256.18,250.32,251
19/03/2024,248.5,256.29,247.95,255.85
18/03/2024,247.5,249.08,244,248.19
17/03/2024,242.7,248,240.905,248
16/03/2024,244.88,246.13,239.83,243.27
15/03/2024,245.68,248.57,243.535,246.21
14/03/2024,243.31,247.46,242.18,245.34
13/03/2024,240.68,244.37,239.21,243.53
12/03/2024,230.81,238.54,225.97,238.02
11/03/2024,239,239,233.37,234.68
10/03/2024,240.15,242.14,237.92,240.77
09/03/2024,239,244.23,238.51,240
08/03/2024,231.21,243,226.35,240.76
07/03/2024,234.11,248.45,229.19,231.75
06/03/2024,223.51,228.29,219.41,228.29
05/03/2024,222.08,224.44,218.925,222.86
04/03/2024,217.13,222.1,216.79,222
03/03/2024,213.65,219.51,213.42,215.32
02/03/2024,223,223.86,217.53,217.65
01/03/2024,214.65,219.17,214.65,217.56
29/02/2024,213.98,215.05,211.87,213.71
28/02/2024,212.04,214.19,210.66,214.18
27/02/2024,212.75,215.2,209.55,211.19
26/02/2024,205,210.56,204.61,210
25/02/2024,206.4,207.99,204,204
24/02/2024,206,206.02,202.35,204.41
23/02/2024,201,209.82,201,204.8
22/02/2024,198.5,199.73,191.89,198.68
21/02/2024,203.28,203.76,198.05,203.33
20/02/2024,200.51,203.9,198.5,202.8
19/02/2024,196.01,201.02,194.71,201.02
18/02/2024,193.66,199.635,193.01,196.78
17/02/2024,196.98,198.05,192.39,193.65
16/02/2024,194,197.72,193.36,197.26
15/02/2024,192.44,195.065,192,193.52
14/02/2024,188.58,195.47,187.57,193
13/02/2024,187.21,189.275,185.78,187.93
12/02/2024,186.99,190.11,185.41,188.8
11/02/2024,189.43,190.04,187.5,187.5
10/02/2024,191.96,192.35,188.73,188.75
09/02/2024,190.63,191.98,190.08,190.27
08/02/2024,190.02,191.3,189.23,189.75
07/02/2024,194.11,194.11,188.56,189.58
06/02/2024,193,195.42,192.62,192.73
05/02/2024,190.14,192.13,188.01,191.27
04/02/2024,192.53,193.9,190.31,190.89
03/02/2024,192.2,194.71,189.14,193.12
02/02/2024,196.31,196.31,191.42,192.49
01/02/2024,200.6,200.72,195.665,196.15
31/01/2024,199,202,196.34,199.54
30/01/2024,197.3,199.98,195.96,199.11
29/01/2024,201.13,201.13,196.42,197.72
28/01/2024,192.7,198.295,191.5,198.09
27/01/2024,194.48,196.25,191.85,192.75
26/01/2024,200,202.64,193.58,193.81
25/01/2024,192.5,199.92,191.44,198.7
24/01/2024,181.71,201.29,181.25,194
23/01/2024,182.21,183.33,179.745,180.72
22/01/2024,183.62,185.59,180.74,185.14
21/01/2024,184.52,184.52,180.51,182.31
20/01/2024,182.9,184.9,182.04,182.61
19/01/2024,181.82,184.29,181.46,183.1
18/01/2024,180.94,182.28,178.88,179.57
17/01/2024,178.8,182.49,178.8,181.18
16/01/2024,179.86,180.16,178.14,179.22
15/01/2024,176.1,180.89,175.85,179.88
14/01/2024,174.52,177.06,174.4,176.05
13/01/2024,173.53,176.24,170.45,175.5
12/01/2024,176.36,176.6,172.9,172.9
11/01/2024,172.94,175,171.07,174.465
10/01/2024,169.16,173.19,169.16,171.04
09/01/2024,170.17,171.41,167.76,170.91
